LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Sunshine Duration;Wind Speed;Wind Direction;Temperature;Temperature;Relative Humidity;Relative Humidity;Wind Speed;Wind Speed
UNIT;;;;;°C;%;mm;min;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Sunshine Duration daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd]
1990;10;01;00;00;17.69;89.79;9.10;29.21;9.54;240.36;20.54;14.25;97.00;78.00;15.21;4.23
1990;10;02;00;00;17.54;86.12;0.00;332.09;3.98;139.19;21.30;15.57;97.00;63.00;5.97;2.54
1990;10;03;00;00;18.58;73.75;0.00;449.43;6.68;169.28;26.35;13.21;100.00;39.00;14.69;3.33
1990;10;04;00;00;14.18;79.75;14.00;40.21;9.37;265.37;15.61;10.83;97.00;50.00;15.61;0.84
1990;10;05;00;00;11.35;75.08;0.00;451.07;2.87;236.73;16.51;7.17;100.00;51.00;6.21;0.51
1990;10;06;00;00;15.27;60.54;0.00;237.17;5.90;209.23;21.88;10.12;71.00;45.00;9.28;3.12
1990;10;07;00;00;15.40;68.00;0.00;430.38;6.26;205.28;21.68;7.07;91.00;48.00;9.74;3.46
1990;10;08;00;00;11.74;71.54;0.00;52.18;9.59;43.34;15.06;10.04;83.00;61.00;11.59;7.93
1990;10;09;00;00;9.88;71.83;0.00;519.00;2.89;144.50;17.00;3.06;100.00;46.00;7.95;0.53
1990;10;10;00;00;14.10;65.04;0.00;414.21;2.18;192.60;21.70;7.60;88.00;38.00;3.39;1.00
1990;10;11;00;00;15.45;71.25;0.00;592.54;3.41;144.70;24.91;7.49;100.00;40.00;5.27;1.05
1990;10;12;00;00;17.03;66.79;0.00;609.39;4.34;105.12;25.09;7.76;89.00;37.00;5.43;1.87
1990;10;13;00;00;19.00;64.96;0.00;659.98;4.06;145.60;26.28;10.59;87.00;37.00;5.37;2.01
1990;10;14;00;00;20.52;63.04;0.00;494.74;4.61;106.92;25.30;16.41;75.00;47.00;12.41;0.93
1990;10;15;00;00;19.01;69.33;0.10;497.40;3.45;145.60;26.46;10.32;96.00;42.00;4.68;1.13
1990;10;16;00;00;17.71;91.25;22.40;39.82;3.40;85.22;19.25;16.21;98.00;80.00;5.87;1.21
1990;10;17;00;00;17.16;81.46;5.20;358.53;3.60;136.46;22.85;12.70;100.00;55.00;10.98;1.17
1990;10;18;00;00;16.19;79.92;8.00;217.50;4.99;199.86;19.06;12.88;97.00;59.00;8.91;0.35
1990;10;19;00;00;17.16;67.50;0.20;164.04;3.31;99.52;20.96;13.67;87.00;48.00;8.20;0.74
1990;10;20;00;00;15.74;81.46;5.40;0.00;5.05;270.34;17.83;13.50;94.00;70.00;7.67;1.96
1990;10;21;00;00;13.43;81.38;0.00;136.14;9.22;66.54;16.86;8.47;94.00;67.00;12.46;6.26
1990;10;22;00;00;8.11;71.54;0.00;601.78;8.01;74.15;14.59;1.63;91.00;50.00;13.00;5.37
1990;10;23;00;00;10.45;67.25;0.80;514.98;4.65;192.18;19.48;0.83;90.00;41.00;6.46;2.90
1990;10;24;00;00;13.89;83.17;4.40;195.64;2.88;179.26;17.38;11.68;98.00;62.00;4.84;0.92
1990;10;25;00;00;12.72;76.96;0.60;0.00;3.97;196.63;17.11;8.42;89.00;61.00;6.14;2.19
1990;10;26;00;00;11.90;79.62;1.80;0.00;5.46;165.03;17.95;7.59;99.00;48.00;10.94;1.79
1990;10;27;00;00;11.00;77.12;3.30;99.57;12.62;238.85;14.40;6.03;94.00;51.00;18.24;7.29
1990;10;28;00;00;10.11;78.42;8.20;0.00;11.58;200.50;16.02;3.47;100.00;52.00;23.11;6.23
1990;10;29;00;00;10.25;95.21;21.50;0.00;14.47;207.94;12.77;8.99;100.00;83.00;25.94;9.41
1990;10;30;00;00;9.79;80.71;2.50;291.06;28.02;244.58;13.22;5.74;100.00;58.00;46.83;6.42
1990;10;31;00;00;10.55;80.12;2.60;254.92;19.81;234.50;14.00;6.81;97.00;59.00;33.26;6.18
1990;11;01;00;00;9.57;78.54;0.10;93.07;27.47;244.90;13.09;5.16;100.00;55.00;40.23;6.13
1990;11;02;00;00;7.93;86.04;3.90;160.21;16.17;230.36;9.74;4.06;100.00;69.00;32.21;5.55
1990;11;03;00;00;6.65;90.12;3.80;40.85;22.41;250.03;7.96;5.46;97.00;78.00;31.34;6.89
1990;11;04;00;00;5.83;90.17;8.10;22.98;26.60;263.56;7.25;4.75;96.00;79.00;35.33;17.61
1990;11;05;00;00;5.55;87.67;8.10;1.46;11.28;214.07;7.34;2.72;96.00;75.00;21.10;2.43
1990;11;06;00;00;3.19;90.17;0.00;328.61;9.97;59.54;6.47;0.62;100.00;68.00;23.04;3.33
1990;11;07;00;00;2.64;82.54;0.00;366.32;5.73;81.27;7.54;-1.07;97.00;58.00;9.05;3.87
