Year;Month;Day;Hour;Minute;Temp_C;RH;TotalPrecipitation_sum_sfc;SunshineDuration_sum_sfc;TempMax_C;TempMin_C
1990;10;1;0;0;17.69;89.79;9.1;29.21;20.54;14.25
1990;10;2;0;0;17.54;86.12;0;332.09;21.3;15.57
1990;10;3;0;0;18.58;73.75;0;449.43;26.35;13.21
1990;10;4;0;0;14.18;79.75;14;40.21;15.61;10.83
1990;10;5;0;0;11.35;75.08;0;451.07;16.51;7.17
1990;10;6;0;0;15.27;60.54;0;237.17;21.88;10.12
1990;10;7;0;0;15.4;68;0;430.38;21.68;7.07
1990;10;8;0;0;11.74;71.54;0;52.18;15.06;10.04
1990;10;9;0;0;9.88;71.83;0;519;17;3.06
1990;10;10;0;0;14.1;65.04;0;414.21;21.7;7.6
1990;10;11;0;0;15.45;71.25;0;592.54;24.91;7.49
1990;10;12;0;0;17.03;66.79;0;609.39;25.09;7.76
1990;10;13;0;0;19;64.96;0;659.98;26.28;10.59
1990;10;14;0;0;20.52;63.04;0;494.74;25.3;16.41
1990;10;15;0;0;19.01;69.33;0.1;497.4;26.46;10.32
1990;10;16;0;0;17.71;91.25;22.4;39.82;19.25;16.21
1990;10;17;0;0;17.16;81.46;5.2;358.53;22.85;12.7
1990;10;18;0;0;16.19;79.92;8;217.5;19.06;12.88
1990;10;19;0;0;17.16;67.5;0.2;164.04;20.96;13.67
1990;10;20;0;0;15.74;81.46;5.4;0;17.83;13.5
1990;10;21;0;0;13.43;81.38;0;136.14;16.86;8.47
1990;10;22;0;0;8.11;71.54;0;601.78;14.59;1.63
1990;10;23;0;0;10.45;67.25;0.8;514.98;19.48;0.83
1990;10;24;0;0;13.89;83.17;4.4;195.64;17.38;11.68
1990;10;25;0;0;12.72;76.96;0.6;0;17.11;8.42
1990;10;26;0;0;11.9;79.62;1.8;0;17.95;7.59
1990;10;27;0;0;11;77.12;3.3;99.57;14.4;6.03
1990;10;28;0;0;10.11;78.42;8.2;0;16.02;3.47
1990;10;29;0;0;10.25;95.21;21.5;0;12.77;8.99
1990;10;30;0;0;9.79;80.71;2.5;291.06;13.22;5.74
1990;10;31;0;0;10.55;80.12;2.6;254.92;14;6.81
1990;11;1;0;0;9.57;78.54;0.1;93.07;13.09;5.16
1990;11;2;0;0;7.93;86.04;3.9;160.21;9.74;4.06
1990;11;3;0;0;6.65;90.12;3.8;40.85;7.96;5.46
1990;11;4;0;0;5.83;90.17;8.1;22.98;7.25;4.75
1990;11;5;0;0;5.55;87.67;8.1;1.46;7.34;2.72
1990;11;6;0;0;3.19;90.17;0;328.61;6.47;0.62
1990;11;7;0;0;2.64;82.54;0;366.32;7.54;-1.07
1990;11;8;0;0;3.64;80.58;0;364.94;9.69;-0.91
1990;11;9;0;0;5.46;80.33;0;407.66;12.25;0.38
1990;11;10;0;0;10.17;76.5;0;0;15.93;6.19
1990;11;11;0;0;9.81;92.29;4.6;0;12.1;8.37
1990;11;12;0;0;9.74;94.62;0.1;0;10.81;7.73
1990;11;13;0;0;8.73;84.75;0;36.38;13.31;4.35
1990;11;14;0;0;11.43;92.08;0.8;0;13.88;9.92
1990;11;15;0;0;8.82;96.29;8.9;0;9.82;7.82
1990;11;16;0;0;8.21;90.92;0.4;339.1;10.74;6.6
1990;11;17;0;0;10.09;89.96;0;284.35;14.2;6.55
1990;11;18;0;0;9.76;90.75;1.5;0;10.92;8.13
1990;11;19;0;0;7.74;84.67;0.5;0;9.3;6.67
1990;11;20;0;0;8.96;95.54;11.7;0;12.22;7.04
1990;11;21;0;0;7.09;91.62;15.7;0;9.43;5.53
1990;11;22;0;0;4.45;90.5;12.9;0;6.7;2.5
1990;11;23;0;0;2.85;94.42;3.2;0;4.92;0.1
1990;11;24;0;0;2.6;92.42;0;29.25;8.02;-0.13
1990;11;25;0;0;3.83;92.88;2.5;0;6.65;0.89
1990;11;26;0;0;5.29;89.08;0;403.23;9.58;2.09
